t,selected,mass,export,input_monomers,input_molecules
1.643119266055045813e+01,3.441311466220917659e-01,1.000000000000000000e+01,2.249189669091528643e+01,1.643119266055045387e+02,9.858715596330279141e+01
1.659716430358632167e+01,3.441311466220916548e-01,9.999999999999996447e+00,2.272036076608245381e+01,1.659716430358631669e+02,9.958298582151797973e+01
1.676313594662218520e+01,3.441311466220915993e-01,1.000000000000000000e+01,2.294882484124962119e+01,1.676313594662218236e+02,1.005788156797331681e+02
1.692910758965804874e+01,3.441311466220915438e-01,1.000000000000000178e+01,2.317728891641679212e+01,1.692910758965804519e+02,1.015746455379483422e+02
1.709507923269391227e+01,3.441311466220914328e-01,1.000000000000000178e+01,2.340575299158396305e+01,1.709507923269390801e+02,1.025704753961635305e+02
1.726105087572977581e+01,3.441311466220913773e-01,1.000000000000000000e+01,2.363421706675113043e+01,1.726105087572977368e+02,1.035663052543787046e+02
1.742702251876563935e+01,3.441311466220913773e-01,1.000000000000000178e+01,2.386268114191830136e+01,1.742702251876563651e+02,1.045621351125938787e+02
1.759299416180150288e+01,3.441311466220913218e-01,1.000000000000000000e+01,2.409114521708547230e+01,1.759299416180149933e+02,1.055579649708090670e+02
1.775896580483736642e+01,3.441311466220913218e-01,1.000000000000000000e+01,2.431960929225264323e+01,1.775896580483736216e+02,1.065537948290242412e+02
1.792493744787322996e+01,3.441311466220913218e-01,1.000000000000000355e+01,2.454807336741981061e+01,1.792493744787322782e+02,1.075496246872394295e+02
1.809090909090909349e+01,3.441311466220913218e-01,1.000000000000000355e+01,2.477653744258698154e+01,1.809090909090909065e+02,1.085454545454546178e+02
1.825688073394495703e+01,3.441311466220913218e-01,1.000000000000000355e+01,2.500500151775414892e+01,1.825688073394495063e+02,1.095412844036697919e+02
1.842285237698081701e+01,3.441311466220913218e-01,1.000000000000000355e+01,2.523346559292131630e+01,1.842285237698081062e+02,1.105371142618849518e+02
1.858882402001668055e+01,3.441311466220913218e-01,1.000000000000000355e+01,2.546192966808848723e+01,1.858882402001667629e+02,1.115329441201001259e+02
1.875479566305254409e+01,3.441311466220913218e-01,1.000000000000000178e+01,2.569039374325565461e+01,1.875479566305253911e+02,1.125287739783153000e+02
1.892076730608840762e+01,3.441311466220913218e-01,1.000000000000000178e+01,2.591885781842282555e+01,1.892076730608840194e+02,1.135246038365304884e+02
1.908673894912427116e+01,3.441311466220912663e-01,1.000000000000000000e+01,2.614732189358999648e+01,1.908673894912426761e+02,1.145204336947456625e+02
1.925271059216013469e+01,3.441311466220912108e-01,1.000000000000000000e+01,2.637578596875716741e+01,1.925271059216013043e+02,1.155162635529608508e+02
1.941868223519599823e+01,3.441311466220911552e-01,1.000000000000000000e+01,2.660425004392433834e+01,1.941868223519599326e+02,1.165120934111760249e+02
1.958465387823186177e+01,3.441311466220911552e-01,1.000000000000000000e+01,2.683271411909150927e+01,1.958465387823185893e+02,1.175079232693912132e+02
1.975062552126772530e+01,3.441311466220911552e-01,1.000000000000000000e+01,2.706117819425867665e+01,1.975062552126772175e+02,1.185037531276064016e+02
1.991659716430358884e+01,3.441311466220911552e-01,1.000000000000000000e+01,2.728964226942584759e+01,1.991659716430358458e+02,1.194995829858215757e+02
2.008256880733945238e+01,3.441311466220911552e-01,1.000000000000000000e+01,2.751810634459301852e+01,2.008256880733945025e+02,1.204954128440367640e+02
2.024854045037531591e+01,3.441311466220911552e-01,1.000000000000000000e+01,2.774657041976018945e+01,2.024854045037531307e+02,1.214912427022519523e+02
2.041451209341117590e+01,3.441311466220912108e-01,1.000000000000000000e+01,2.797503449492735328e+01,2.041451209341117305e+02,1.224870725604671122e+02
2.058048373644703943e+01,3.441311466220912108e-01,1.000000000000000000e+01,2.820349857009452421e+01,2.058048373644703872e+02,1.234829024186822863e+02
2.074645537948290297e+01,3.441311466220912663e-01,1.000000000000000178e+01,2.843196264526169514e+01,2.074645537948290155e+02,1.244787322768974747e+02
2.091242702251876651e+01,3.441311466220912663e-01,1.000000000000000178e+01,2.866042672042886608e+01,2.091242702251876437e+02,1.254745621351126488e+02
2.107839866555463004e+01,3.441311466220912663e-01,1.000000000000000178e+01,2.888889079559603701e+01,2.107839866555462720e+02,1.264703919933278229e+02
2.124437030859049358e+01,3.441311466220912663e-01,1.000000000000000178e+01,2.911735487076320439e+01,2.124437030859049003e+02,1.274662218515430112e+02
2.141034195162635712e+01,3.441311466220912663e-01,1.000000000000000178e+01,2.934581894593037532e+01,2.141034195162635285e+02,1.284620517097581853e+02
2.157631359466222065e+01,3.441311466220912108e-01,1.000000000000000000e+01,2.957428302109754625e+01,2.157631359466221568e+02,1.294578815679733736e+02
2.174228523769808419e+01,3.441311466220912108e-01,1.000000000000000000e+01,2.980274709626471363e+01,2.174228523769808135e+02,1.304537114261885336e+02
2.190825688073394772e+01,3.441311466220911552e-01,1.000000000000000000e+01,3.003121117143188457e+01,2.190825688073394417e+02,1.314495412844037219e+02
2.207422852376981126e+01,3.441311466220910997e-01,1.000000000000000000e+01,3.025967524659905550e+01,2.207422852376980700e+02,1.324453711426189102e+02
2.224020016680567124e+01,3.441311466220910997e-01,1.000000000000000000e+01,3.048813932176622288e+01,2.224020016680566698e+02,1.334412010008340701e+02
2.240617180984153478e+01,3.441311466220910997e-01,1.000000000000000000e+01,3.071660339693339026e+01,2.240617180984153265e+02,1.344370308590492300e+02
2.257214345287739832e+01,3.441311466220910997e-01,1.000000000000000000e+01,3.094506747210056119e+01,2.257214345287739548e+02,1.354328607172644183e+02
2.273811509591326185e+01,3.441311466220910997e-01,9.999999999999998224e+00,3.117353154726773212e+01,2.273811509591325830e+02,1.364286905754796067e+02
2.290408673894912539e+01,3.441311466220910997e-01,9.999999999999998224e+00,3.140199562243489950e+01,2.290408673894912113e+02,1.374245204336947666e+02
2.307005838198498893e+01,3.441311466220911552e-01,9.999999999999998224e+00,3.163045969760207043e+01,2.307005838198498680e+02,1.384203502919099549e+02
2.323603002502085246e+01,3.441311466220911552e-01,9.999999999999998224e+00,3.185892377276924137e+01,2.323603002502084962e+02,1.394161801501251432e+02
2.340200166805671600e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.208738784793641230e+01,2.340200166805671529e+02,1.404120100083403031e+02
2.356797331109257954e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.231585192310357968e+01,2.356797331109257811e+02,1.414078398665554914e+02
2.373394495412844307e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.254431599827075416e+01,2.373394495412844094e+02,1.424036697247706797e+02
2.389991659716430661e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.277278007343792154e+01,2.389991659716430377e+02,1.433994995829858681e+02
2.406588824020017015e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.300124414860509603e+01,2.406588824020016943e+02,1.443953294412010280e+02
2.423185988323603013e+01,3.441311466220911552e-01,9.999999999999998224e+00,3.322970822377226341e+01,2.423185988323602942e+02,1.453911592994161879e+02
2.439783152627189367e+01,3.441311466220911552e-01,9.999999999999998224e+00,3.345817229893943079e+01,2.439783152627189224e+02,1.463869891576313762e+02
2.456380316930775720e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.368663637410659817e+01,2.456380316930775507e+02,1.473828190158465645e+02
2.472977481234362074e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.391510044927377265e+01,2.472977481234362074e+02,1.483786488740617244e+02
2.489574645537948427e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.414356452444094003e+01,2.489574645537948356e+02,1.493744787322769128e+02
2.506171809841534781e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.437202859960811452e+01,2.506171809841534639e+02,1.503703085904921011e+02
2.522768974145121135e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.460049267477528190e+01,2.522768974145121206e+02,1.513661384487072894e+02
2.539366138448707488e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.482895674994245638e+01,2.539366138448707488e+02,1.523619683069224493e+02
2.555963302752293842e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.505742082510962376e+01,2.555963302752293487e+02,1.533577981651376376e+02
2.572560467055880196e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.528588490027679114e+01,2.572560467055880054e+02,1.543536280233528259e+02
2.589157631359466549e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.551434897544395852e+01,2.589157631359466336e+02,1.553494578815680143e+02
2.605754795663052903e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.574281305061113301e+01,2.605754795663052619e+02,1.563452877397831742e+02
2.622351959966638901e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.597127712577830039e+01,2.622351959966638333e+02,1.573411175979983341e+02
2.638949124270225255e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.619974120094546777e+01,2.638949124270225184e+02,1.583369474562135224e+02
2.655546288573811609e+01,3.441311466220911552e-01,1.000000000000000000e+01,3.642820527611263515e+01,2.655546288573811466e+02,1.593327773144287107e+02
2.672143452877397962e+01,3.441311466220911552e-01,1.000000000000000000e+01,3.665666935127980253e+01,2.672143452877397181e+02,1.603286071726438990e+02
2.688740617180984316e+01,3.441311466220910997e-01,1.000000000000000000e+01,3.688513342644697701e+01,2.688740617180983463e+02,1.613244370308590590e+02
2.705337781484570669e+01,3.441311466220910997e-01,1.000000000000000000e+01,3.711359750161414439e+01,2.705337781484570314e+02,1.623202668890742473e+02
2.721934945788157023e+01,3.441311466220910997e-01,1.000000000000000000e+01,3.734206157678131177e+01,2.721934945788156597e+02,1.633160967472894356e+02
2.738532110091743377e+01,3.441311466220910997e-01,1.000000000000000000e+01,3.757052565194848626e+01,2.738532110091742879e+02,1.643119266055046239e+02
2.755129274395329730e+01,3.441311466220910997e-01,1.000000000000000000e+01,3.779898972711565364e+01,2.755129274395329162e+02,1.653077564637197838e+02
2.771726438698916084e+01,3.441311466220910997e-01,1.000000000000000000e+01,3.802745380228282812e+01,2.771726438698915445e+02,1.663035863219349721e+02
2.788323603002502438e+01,3.441311466220911552e-01,1.000000000000000000e+01,3.825591787744999550e+01,2.788323603002501727e+02,1.672994161801501605e+02
2.804920767306088436e+01,3.441311466220911552e-01,1.000000000000000000e+01,3.848438195261715578e+01,2.804920767306088010e+02,1.682952460383653204e+02
2.821517931609674790e+01,3.441311466220911552e-01,9.999999999999998224e+00,3.871284602778433026e+01,2.821517931609674292e+02,1.692910758965804803e+02
2.838115095913261143e+01,3.441311466220911552e-01,9.999999999999998224e+00,3.894131010295149764e+01,2.838115095913260575e+02,1.702869057547956686e+02
2.854712260216847497e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.916977417811866502e+01,2.854712260216846857e+02,1.712827356130108569e+02
2.871309424520433851e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.939823825328583951e+01,2.871309424520433708e+02,1.722785654712260452e+02
2.887906588824020204e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.962670232845300688e+01,2.887906588824019991e+02,1.732743953294412051e+02
2.904503753127606558e+01,3.441311466220912108e-01,1.000000000000000000e+01,3.985516640362018137e+01,2.904503753127606274e+02,1.742702251876563935e+02
2.921100917431192912e+01,3.441311466220912108e-01,1.000000000000000000e+01,4.008363047878734875e+01,2.921100917431192556e+02,1.752660550458715818e+02
2.937698081734779265e+01,3.441311466220912108e-01,1.000000000000000000e+01,4.031209455395451613e+01,2.937698081734778839e+02,1.762618849040867701e+02
2.954295246038365619e+01,3.441311466220912108e-01,1.000000000000000000e+01,4.054055862912168351e+01,2.954295246038365121e+02,1.772577147623019300e+02
2.970892410341951972e+01,3.441311466220912108e-01,1.000000000000000000e+01,4.076902270428885799e+01,2.970892410341951404e+02,1.782535446205171183e+02
2.987489574645538326e+01,3.441311466220912108e-01,1.000000000000000000e+01,4.099748677945602537e+01,2.987489574645537687e+02,1.792493744787323067e+02
3.004086738949124324e+01,3.441311466220912108e-01,1.000000000000000000e+01,4.122595085462319275e+01,3.004086738949123969e+02,1.802452043369474666e+02
3.020683903252710678e+01,3.441311466220912108e-01,1.000000000000000000e+01,4.145441492979036013e+01,3.020683903252710252e+02,1.812410341951626549e+02
3.037281067556297032e+01,3.441311466220912108e-01,1.000000000000000000e+01,4.168287900495753462e+01,3.037281067556296534e+02,1.822368640533778148e+02
3.053878231859883385e+01,3.441311466220912108e-01,1.000000000000000000e+01,4.191134308012470200e+01,3.053878231859882817e+02,1.832326939115930031e+02
3.070475396163469739e+01,3.441311466220912108e-01,1.000000000000000000e+01,4.213980715529186938e+01,3.070475396163469100e+02,1.842285237698081914e+02
3.087072560467056093e+01,3.441311466220912108e-01,1.000000000000000000e+01,4.236827123045903676e+01,3.087072560467055382e+02,1.852243536280233798e+02
3.103669724770642446e+01,3.441311466220912108e-01,1.000000000000000000e+01,4.259673530562621124e+01,3.103669724770641665e+02,1.862201834862385681e+02
3.120266889074228800e+01,3.441311466220912108e-01,1.000000000000000000e+01,4.282519938079337862e+01,3.120266889074227947e+02,1.872160133444537280e+02
3.136864053377815154e+01,3.441311466220911552e-01,9.999999999999998224e+00,4.305366345596055311e+01,3.136864053377814230e+02,1.882118432026689163e+02
3.153461217681401507e+01,3.441311466220911552e-01,9.999999999999998224e+00,4.328212753112772049e+01,3.153461217681400512e+02,1.892076730608841046e+02
