t,selected,mass,export,input_monomers,input_molecules
1.410758965804837395e+01,1.999998414327558609e-09,1.000000000000000000e+01,2.936100123612828188e-06,1.410758965804837430e+02,8.464553794829025435e+01
1.427356130108423748e+01,1.999998642703167782e-09,9.999999999999998224e+00,2.973277744332756604e-06,1.427356130108423713e+02,8.564136780650544267e+01
1.443953294412010102e+01,1.999998836155992766e-09,1.000000000000000000e+01,3.010455368964036260e-06,1.443953294412009996e+02,8.663719766472061679e+01
1.460550458715596456e+01,1.999999000045671756e-09,1.000000000000000355e+01,3.047632996906388459e-06,1.460550458715596562e+02,8.763302752293580511e+01
1.477147623019182809e+01,1.999999138878115631e-09,1.000000000000000178e+01,3.084810627655150972e-06,1.477147623019182845e+02,8.862885738115097922e+01
1.493744787322769163e+01,1.999999256473918196e-09,1.000000000000000355e+01,3.121988260782417152e-06,1.493744787322769412e+02,8.962468723936616755e+01
1.510341951626355339e+01,1.999999356075147690e-09,1.000000000000000178e+01,3.159165895925074986e-06,1.510341951626355410e+02,9.062051709758132745e+01
1.526939115929941693e+01,1.999999440435315903e-09,9.999999999999998224e+00,3.196343532774731638e-06,1.526939115929941693e+02,9.161634695579651577e+01
1.543536280233528046e+01,1.999999511878768924e-09,1.000000000000000000e+01,3.233521171071060425e-06,1.543536280233527975e+02,9.261217681401168988e+01
1.560133444537114400e+01,1.999999572412758945e-09,1.000000000000000000e+01,3.270698810589249061e-06,1.560133444537114258e+02,9.360800667222686400e+01
1.576730608840700754e+01,1.999999623677987129e-09,1.000000000000000000e+01,3.307876451145538830e-06,1.576730608840700540e+02,9.460383653044205232e+01
1.593327773144287107e+01,1.999999667130166864e-09,1.000000000000000178e+01,3.345054092576890291e-06,1.593327773144286823e+02,9.559966638865722643e+01
1.609924937447873461e+01,1.999999703937887634e-09,1.000000000000000178e+01,3.382231734752421182e-06,1.609924937447873106e+02,9.659549624687240055e+01
1.626522101751459815e+01,1.999999735130618724e-09,9.999999999999998224e+00,3.419409377556830415e-06,1.626522101751459672e+02,9.759132610508758887e+01
1.643119266055045813e+01,1.999999761551784508e-09,9.999999999999996447e+00,3.456587020895654333e-06,1.643119266055045671e+02,9.858715596330274877e+01
1.659716430358632167e+01,1.999999783935218678e-09,1.000000000000000355e+01,3.493764664686704907e-06,1.659716430358631953e+02,9.958298582151793710e+01
1.676313594662218520e+01,1.999999802893677194e-09,1.000000000000000000e+01,3.530942308861352985e-06,1.676313594662218236e+02,1.005788156797331112e+02
1.692910758965804874e+01,1.999999818938812210e-09,1.000000000000000000e+01,3.568119953362292978e-06,1.692910758965804803e+02,1.015746455379482995e+02
1.709507923269391227e+01,1.999999832520262977e-09,1.000000000000000000e+01,3.605297598139166235e-06,1.709507923269391085e+02,1.025704753961634736e+02
1.726105087572977581e+01,1.999999844032533849e-09,1.000000000000000000e+01,3.642475243147787283e-06,1.726105087572977368e+02,1.035663052543786620e+02
1.742702251876563935e+01,1.999999853765454852e-09,9.999999999999998224e+00,3.679652888355695279e-06,1.742702251876563651e+02,1.045621351125938503e+02
1.759299416180150288e+01,1.999999862032641587e-09,1.000000000000000000e+01,3.716830533727765459e-06,1.759299416180150217e+02,1.055579649708090244e+02
1.775896580483736642e+01,1.999999869025080960e-09,9.999999999999998224e+00,3.754008179242607278e-06,1.775896580483736500e+02,1.065537948290242127e+02
1.792493744787322996e+01,1.999999874960882714e-09,9.999999999999998224e+00,3.791185824875792728e-06,1.792493744787322782e+02,1.075496246872393868e+02
1.809090909090909349e+01,1.999999879999270430e-09,9.999999999999998224e+00,3.828363470609487955e-06,1.809090909090909065e+02,1.085454545454545610e+02
1.825688073394495703e+01,1.999999884268972852e-09,9.999999999999998224e+00,3.865541116429276458e-06,1.825688073394495348e+02,1.095412844036697493e+02
1.842285237698081701e+01,1.999999887892593036e-09,9.999999999999998224e+00,3.902718762321425292e-06,1.842285237698081346e+02,1.105371142618849092e+02
1.858882402001668055e+01,1.999999890960462825e-09,1.000000000000000178e+01,3.939896408275819188e-06,1.858882402001667629e+02,1.115329441201000833e+02
1.875479566305254409e+01,1.999999893561968599e-09,1.000000000000000178e+01,3.977074054282446219e-06,1.875479566305254195e+02,1.125287739783152716e+02
1.892076730608840762e+01,1.999999895761868673e-09,1.000000000000000178e+01,4.014251700334052393e-06,1.892076730608840194e+02,1.135246038365304599e+02
1.908673894912427116e+01,1.999999897625264643e-09,1.000000000000000178e+01,4.051429346423347298e-06,1.908673894912426761e+02,1.145204336947456483e+02
1.925271059216013469e+01,1.999999899198605595e-09,1.000000000000000178e+01,4.088606992545128457e-06,1.925271059216013043e+02,1.155162635529608224e+02
1.941868223519599823e+01,1.999999900518160918e-09,1.000000000000000178e+01,4.125784638695333501e-06,1.941868223519599326e+02,1.165120934111760107e+02
1.958465387823186177e+01,1.999999901636161690e-09,1.000000000000000178e+01,4.162962284868112821e-06,1.958465387823185893e+02,1.175079232693911848e+02
1.975062552126772530e+01,1.999999902593277074e-09,1.000000000000000178e+01,4.200139931058910225e-06,1.975062552126772175e+02,1.185037531276063731e+02
