t,node1_u,node1_w,node1_x,node1_c1,node1_c2,node1_z,node1_h,node2_u,node2_w,node2_x,node2_c1,node2_c2,node2_z,node2_h
0.315,0.9728088298584365,0.977137108482678,0.007143624228579904,0.004328278624291252,0.002088108362283637,0.0017657947226155553,3.4238123187883254e-05,0.9731250505654307,0.9773961428252821,0.007047172789650095,0.004271092259987703,0.0020609325109353883,0.0017414683563579873,3.1846019056257386e-05
0.32,0.9726843076062367,0.9770387223751161,0.007187317000740753,0.004354414768929373,0.0021005361585632676,0.0017765551042180185,3.4618144261032285e-05,0.9729991936163368,0.9772966010367466,0.00709118535471917,0.004297407420545114,0.002073479662747122,0.0017524094809540187,3.228271522364965e-05
0.325,0.9725588578145791,0.9769395585309879,0.007231267190540243,0.004380700716458857,0.002113035374566102,0.001787384305532318,3.49974335295143e-05,0.9728724146193571,0.9771962927680445,0.00713547089628294,0.004323878148821547,0.002086093376972586,0.001763408809756012,3.271704513379549e-05
0.33,0.9724324767917081,0.9768396142111581,0.007275477428148132,0.004407137419500134,0.0021256058611803055,0.0017982822575844104,3.5376036465050456e-05,0.9727447089590436,0.9770952141070741,0.007180028907878749,0.004350505148163581,0.0020987748822992535,0.0017744671500086375,3.3149105094768084e-05
0.335,0.97230516071845,0.9767388865798974,0.007319950126697731,0.004433725861497783,0.0021382475942306437,0.0018092489067093188,3.5753998210357425e-05,0.9726160722006449,0.9769933612433881,0.007224859226074381,0.004377289042875136,0.0021115251996967196,0.001785585333829961,3.357898881800189e-05
0.34,0.9721769056990099,0.9766373727360712,0.0073646875585878825,0.004460467037111848,0.0021509606259544223,0.0018202842194106627,3.613136361885573e-05,0.9724865000127951,0.9768907304326754,0.007269961917139614,0.004404230420011102,0.002124345220177352,0.001796764193935821,3.4006788093032076e-05
0.34500000000000003,0.9720477077652501,0.9765350697123631,0.007409691857736002,0.004487361947163786,0.0021637450812669362,0.0018313881878092195,3.650817720897015e-05,0.9723559881580859,0.9767873179957276,0.007315337277902615,0.004431329837771587,0.002137235709314673,0.0018080045549802807,3.443259265766872e-05
0.35000000000000003,0.9719175628890597,0.9764319744785815,0.007454965035445176,0.004514411589572733,0.0021766011452656066,0.0018425608369874685,3.6884483089660825e-05,0.9722245324675558,0.9766831203103661,0.007360985818248687,0.004458587842939141,0.0021501973258207362,0.001819307218977418,3.4856490069715663e-05
0.355,0.9717864670095498,0.9763280839700995,0.007500509034501634,0.0045416169606007995,0.002189529036570917,0.0018538022102542056,3.726032515719231e-05,0.9720921288112795,0.9765781337866949,0.0074069081664513954,0.004486004975543072,0.0021632306687191186,0.0018306729755924952,3.5278566721258893e-05
0.36,0.9716544160099125,0.976223395050296,0.007546325674852681,0.004568979040434659,0.0022025290278366244,0.001865112400845043,3.76357466627995e-05,0.9719587731027195,0.9764723548898551,0.00745310518111142,0.004513581787262322,0.0021763362359955643,0.0018421025666774673,3.569890605860175e-05
0.365,0.9715214057595523,0.9761179045630527,0.007592416746102308,0.004596498803551688,0.0022156014043060532,0.0018764915167276649,3.801079065487084e-05,0.9718244612622096,0.9763657800980166,0.007499577780523997,0.0045413188359326095,0.0021895145013944846,0.0018535967187655455,3.611759065937572e-05
0.37,0.9713874321014042,0.9760116093150347,0.007638783977603659,0.004624177213681797,0.0022287464763639984,0.0018879396940068571,3.83854998142823e-05,0.9716891892261557,0.9762584059159732,0.007546326999738937,0.004569216689942297,0.002202765890256145,0.0018651561296217543,3.65347014890955e-05
0.375,0.971252490849293,0.9759045060645558,0.007685429037695395,0.0046520152153143165,0.002241964576528141,0.0018994571095952324,3.8759916182948713e-05,0.9715529529262869,0.9761502288714001,0.007593354008100002,0.004597275945237009,0.0022160907820261487,0.001876781450105226,3.6950317018187035e-05
